Effect,Ingredients
expoliates1,"betaine salicylate', 'BHA (beta hydroxy acid)', 'citric acid', 'hexanoyl dipeptide-3 norleucine acetate'"
expoliates2,silicone'
skin_texture,"ascorbic acid', 'caprooyl phytosphingosine', 'caprooyl sphingosine', 'ceramides', 'cyclohexasiloxane', 'dipotassium phosphate', 'EDTA', 'glyceryl behenate', 'glycoproteins', 'hectorite', 'methylpropanediol', 'myristoyl tripeptide-31', 'natural moisturizing factor (NMF)', 'niacinamide', 'Panax ginseng root extract', 'propanediol', 'skin-replenishing ingredients', 'skin-restoring ingredients', 'sodium carboxymethyl beta-glucan', 'walnut shell powder', 'water'"
skin_tone,"AHA', 'ascorbic acid', 'lemon juice', 'myristoyl tripeptide-31', 'niacinamide', 'Panax ginseng root extract', 'phloretin', 'salicylic acid', 'vitamin C'"
sebum,"mandelic acid', 'squalane'"
hydration,"hydrolyzed acacia macrostachya seed extract', 'magnesium ascorbyl phosphate', 'myristoyl pentapeptide-17', 'neem extract', 'skin-replenishing ingredients', 'water'"
rosacea,"4-T-butylcyclohexanol', 'azelaic acid', 'beta-glucan', 'caffeine'"
pigmentation,
ageing,"alcohol', 'alpha lipoic acid', 'azelaoyl bis-dipeptide-10', 'bay leaf oil', 'beta-carotene', 'Camellia japonica', 'caprooyl tetrapeptide-3', 'glabridin', 'honey', 'Mahonia aquifolium root extract', 'propyl gallate', 'quercetin', 'retinol', 'retinyl palmitate', 'rosemary extract', 'soy extract', 'soy extract', 'tomato extract'"
fine_lines,"botanicals', 'palmitoyl pentapeptide-4', 'Palmitoyl Tripeptide-38', 'Rhodiola rosea root extract', 'skin-restoring ingredients'"
pore,salicylic acid'
acne,
blemishes,azelaic acid'
soothing,"apricot kernel oil', 'argan oil', 'bis-phenylpropyl dimethicone', 'castor oil', 'cetearyl alcohol', 'cetyl alcohol', 'cholesterol', 'diisopropyl adipate', 'dipentaerythrityl hexacaprylate/hexacaprate', 'emu oil', 'glyceryl behanate', 'glyceryl myristate', 'glyceryl oleate', 'glyceryl palmitate', 'glyceryl stearate', 'hoelen', 'hyaluronic acid', 'hyaluronic acid', 'mineral oil', 'myristoyl hexapeptide-16', 'PEG-20 methyl glucose sesquistearate', 'PEG-60 almond glycerides', 'silicone', 'stearyl stearate', 'tribehenin PEG-20 esters', 'vitamin F'"
inflammation,
dark_circle,"arbutin', 'ascorbic acid', 'Coffea arabica (coffee) seed oil', 'hesperidin methyl chalcone', 'hydroquinone', 'niacinamide', 'peptides', 'vitamin K', 'vitamin K'"
puffiness,cucumber extract'
radiant,cucumber extract'
scar,
skin_conditioning,"dimethyl isosorbide', 'titanium dioxide', 'zinc oxide'"
