Ingredients,Rate,Category,Information
"1, 2-Hexanediol",GOOD,Preservatives,"A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing. 
See preservatives
References for this information:
International Journal of Toxicology, September-October 2012, pages 147S-168S
International Journal of Cosmetic Science, October 2011, pages 421-425
Cutaneous and Ocular Toxicology, Volume 28, 2009, pages 23-24"
10-Hydroxydecanoic Acid,GOOD,Emollients,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
4-T-butylcyclohexanol,GOOD,Emollients,"A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.
References for this information:
Journal of the European Academy of Dermatology and Venereology, February 2016, pages 9-16; and Volume 30 Supplement, pages 21-27
Experimental Dermatology, November 2010, pages 980-986."
Acacia farnesiana extract,POOR,Plant Extracts,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.
acacia senegal gum,GOOD,Texture Enhancer,"Herb that can have skin soothing properties, but is used primarily as a thickening agent."
acai,BEST,Antioxidants,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, açai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant—just one of many to choose from when it comes to your skincare products.
References for this information:
Journal of Drugs in Dermatology, June 2010, pages 72-81
Journal of Agricultural and Food Chemistry, November 2006, pages 8604-8610"
acerola fruit extract,GOOD,Plant Extracts,"Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good source of vitamin C because much of the vitamin C is destroyed during the drying and processing."
acetic acid,POOR,Sensitizing,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties."
acetone,POOR,Sensitizing,Strong solvent that is used in nail polish removers.
acetylated castor oil,GOOD,Texture Enhancer,Used as an emollient and thickening agent in cosmetics.
acetylated hydrogenated cottonseed glyceride,GOOD,Texture Enhancer,Used as an emollient and thickening agent in cosmetics.
acetylated lanolin,GOOD,Emollients,Emollient derived from lanolin.
acetylated lanolin alcohol,GOOD,Emollients,"An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed from an alcohol and an acid with the elimination of water, and are common among cosmetic ingredients."
acetylated palm kernel glycerides,GOOD,Texture Enhancer,Used as an emollient and thickening agent in cosmetics.
acetyl carnitine HCL,BEST,Antioxidants,none
acetyl glucosamine,BEST,Skin-Replenishing,"Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid. Acetyl glucosamine is a skin-replenishing ingredient that can have considerable value in cosmetic products aimed at diminishing signs of aging.
In terms of this ingredient prompting exfoliation, the research that exists was performed by Proctor & Gamble and by Estee Lauder, and both companies sell skincare products that contain acetyl glucosamine. 
Acetyl glucosamine also has research demonstrating that it can have skin-brightening benefits, particularly when combined with the B vitamin, niacinamide. 
Most of the research concerning acetyl glucosamine’s effect on uneven skin tone is from Procter & Gamble, as their Olay brand uses acetyl glucosamine in select products. Still, the research is compelling and the protocols are sound, so it can be applied to other formularies that utilize this ingredient.
References for this information:
International Journal of Cosmetic Science, October 2013, pages 472-476
British Journal of Dermatology, February 2010, pages 435-441
Journal of Cosmetic Science, July-August 2009, pages 423-428
Journal of Cosmetic Dermatology, March 2007, pages 20-26; and December 2006, pages 309-315"
acetyl glyceryl ricinoleate,GOOD,Texture Enhancer,Used as an emollient and thickening agent in cosmetics.
acetyl hexapeptide-8,GOOD,Skin-Restoring,"Acetyl hexapeptide-8 is a synthetically derived peptide that is used in a wide range of skincare and makeup products.
Despite claims being made for acetyl hexapeptide-8 (argireline), there is a clinical study revealing that this ingredient is not even remotely as effective as dermatological procedures in reducing signs of aging.
Other studies on topical use of a moisturizer containing a 10% concentration of acetyl hexapeptide-8 have shown it does not penetrate beyond the uppermost layers of skin, even after several hours. That means it cannot affect factors in the underlying layers that lead to the formation of expression lines. 
On the other hand, research has shown this peptide can penetrate further into skin if specific formulary steps are followed, including the type of emulsion (a higher water content showed greater penetration). However, even then the peptide wasn’t showing results equivalent to cosmetic corrective procedures. 
Still, like all peptides, acetyl hexapeptide-8 has water-binding properties and theoretical skin-restoring ability. It’s not a throwaway ingredient, but neither is it as miraculous as the manufacturer would lead you to believe.
References for this information:
Cutaneous and Ocular Toxicology, March 2015, pages 46-52
European Journal of Pharmaceutical Sciences, February 2015, pages 27-35
Dermatologic Therapy, September-October 2007, issue 5, pages 343-349
International Journal of Cosmetic Science, October 2002, issue 5, pages 303-310"
acetyl octapeptide-3,GOOD,Skin-Restoring,"Synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine. Also known as SNAP-8, this peptide is said to improve the look of signs of aging formed from repetitive facial expressions, though there’s no independent research supporting this claim.
Even if there were independent research, the concentrations used in the company-sponsored testing to support the improvement of signs of aging was 3–10%, which is far greater than what’s typically present in skincare products. Like all peptides it has water-binding properties and theoretical skin-restoring ability. It may play a role in helping skin look younger, and can help hydrate and smooth skin."
acetyl tributyl citrate,AVERAGE,Film-Forming/Holding Agents,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening products."
acetyl tyrosine,GOOD,Hydration,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it has a restoring or brightening effect on skin.
Achillea millefolium,POOR,Skin-Soothing,none
acid,AVERAGE,Miscellaneous,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH of 7. Skin has an average pH of 5.5
acne soap,POOR,Cleansing Agents,"Soaps that often contain strong cleansing ingredients, they are often overly drying and sensitizing to skin."
acrylate,GOOD,Texture Enhancer,none
acrylates/C10-30 alkyl acrylate crosspolymer,GOOD,Texture Enhancer,"A synthetic ingredient used to enhance the texture of skincare and haircare products. The Cosmetic Ingredient Review has deemed it safe as it is currently used in cosmetics.
Reference for this information:
Cosmetic Ingredient Review Final Safety Assessment, November 2011 - http://www.cir-safety.org/sites/default/files/crossl092011final_for%20posting.pdf"
acrylates/dimethicone copolymer,GOOD,Silicones,Silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.
acrylates/steareth-20 methacrylate copolymer,GOOD,Texture Enhancer,Synthetic polymer that blends steareth-20 with one or more forms of methacrylic acid. Functions as a thickening agent.
acrylates copolymer,GOOD,Texture Enhancer,none
Actaea racemosa,AVERAGE,Plant Extracts,none
adenosine,BEST,Skin-Soothing,"Yeast-derived ingredient that functions as a good soothing and skin-restoring agent. Adenosine has proven anti-wrinkle benefits due to its ability to energize skin’s surface so it looks smoother and younger. Naturally present throughout the body, adenosine is a beneficial ingredient all skin types can use.
References for this information:
Experimental Dermatology, August 2014, pages 553-554
International Journal of Cosmetic Science, December 2006, pages 447-451
British Journal of Pharmacology, October 2008, issue 4, pages 475-486
PloS One, May 2008 (ePublication: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0002107)"
adenosine triphosphate,BEST,Skin-Soothing,"Organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids.
Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.
References for this information:
Journal of Cutaneous Medicine and Surgery, March-April 2004, issue 2, pages 90-96"
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,GOOD,Texture Enhancer,A synthetic polymer.
