,Ingredients,Rate,Category,Information
0,acai,BEST,"Antioxidants, Plant Extracts",
1,acetyl carnitine HCL,BEST,Antioxidants,
2,agar,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
3,Agrimonia eupatoria leaf extract,AVERAGE,"Antioxidants, Plant Extracts",
4,Ahnfeltia concinna extract,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
5,ahnfeltia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
6,Ahnfeltiopsis concinna extract,GOOD,"Emollients, Antioxidants, Plant Extracts, Texture Enhancer",
7,alanine,GOOD,Antioxidants,
8,Alaria esculenta,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
9,Aleurites moluccana seed oil,BEST,"Plant Extracts, Antioxidants",
10,alfalfa extract,BEST,"Antioxidants, Plant Extracts",
11,algae,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
12,algae extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
13,algin,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
14,alpha lipoic acid,BEST,Antioxidants,
15,alpha-tocopherol,BEST,"Antioxidants, Vitamins",
16,aluminum sulfate,POOR,"Absorbent, Antioxidants",
17,amino acid,BEST,"Antioxidants, Skin-Replenishing",
18,amygdalic acid,GOOD,"Exfoliant, Antioxidants",
19,Anacystis nidulans extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients",
20,Angelica archangelica root oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
21,Angelica polymorpha sinensis root extract,POOR,"Antioxidants, Plant Extracts",
22,anise,POOR,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts",
23,Anthemis nobilis flower extract,BEST,"Skin-Soothing, Antioxidants",
24,anthocyanin,BEST,"Antioxidants, Plant Extracts",
25,antioxidant,BEST,Antioxidants,
26,apple fruit extract,BEST,"Antioxidants, Plant Extracts",
27,Arctium lappa,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
28,Arctium majus,BEST,"Plant Extracts, Antioxidants, Skin-Soothing",
29,Arctostaphylos uva ursi leaf,BEST,"Antioxidants, Plant Extracts",
30,Argania spinosa,BEST,"Antioxidants, Plant Extracts",
31,argan oil,BEST,"Antioxidants, Emollients, Plant Extracts",
32,arginine,GOOD,Antioxidants,
33,artemia extract,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
34,Ascophyllum nodosum,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
35,ascorbic acid,BEST,"Antioxidants, Vitamins",
36,ascorbyl glucosamine,BEST,"Antioxidants, Vitamins",
37,ascorbyl glucoside,BEST,"Antioxidants, Vitamins",
38,ascorbyl methylsilanol pectinate,BEST,"Antioxidants, Texture Enhancer, Vitamins",
39,ascorbyl palmitate,BEST,"Antioxidants, Vitamins",
40,asparagine,GOOD,Antioxidants,
41,Asparagopsis armata extract,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
42,aspartic acid,GOOD,"Antioxidants, Skin-Replenishing",
43,astaxanthin,BEST,Antioxidants,
44,astaxanthin extract,BEST,Antioxidants,
45,Astragalus membranaceus,BEST,"Antioxidants, Plant Extracts",
46,Astragalus sinicus,GOOD,"Antioxidants, Plant Extracts",
47,atractylodes macrocephala root powder,BEST,"Antioxidants, Skin-Soothing, Plant Extracts",
48,avocado oil,BEST,"Antioxidants, Emollients",
49,Azadirachta indica,POOR,"Plant Extracts, Antioxidants",
50,azelaic acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant",
51,azulene,AVERAGE,"Skin-Soothing, Plant Extracts, Antioxidants",
52,bakuchiol,GOOD,"Antioxidants, Plant Extracts",
53,banana extract,AVERAGE,"Antioxidants, Plant Extracts",
54,bay leaf oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
55,bearberry extract,GOOD,Antioxidants,
56,beet root extract,GOOD,"Antioxidants, Coloring Agents/Pigments, Plant Extracts",
57,benzalkonium chloride,AVERAGE,Antioxidants,
58,Berberis aristata,BEST,"Plant Extracts, Antioxidants",
59,Bertholletia excelsa extract,GOOD,"Antioxidants, Plant Extracts",
60,beta-carotene,GOOD,Antioxidants,
61,beta-glucan,BEST,"Skin-Soothing, Antioxidants",
62,beta hydroxy acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant",
63,Beta vulgaris root extract,GOOD,"Antioxidants, Coloring Agents/Pigments, Plant Extracts",
64,Betula alba,GOOD,"Antioxidants, Plant Extracts",
65,BHT,AVERAGE,Antioxidants,
66,bioflavonoid,BEST,Antioxidants,
67,birch bark extract,GOOD,"Antioxidants, Plant Extracts",
68,birch leaf extract,GOOD,"Antioxidants, Plant Extracts",
69,blackberry,BEST,"Antioxidants, Plant Extracts",
70,black elderberry,GOOD,"Antioxidants, Plant Extracts",
71,black locust extract,POOR,"Antioxidants, Plant Extracts",
72,black raspberry,BEST,"Antioxidants, Plant Extracts",
73,black tea,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
74,bladderwrack extract,BEST,"Antioxidants, Plant Extracts",
75,Boerhavia diffusa root extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
76,borage seed oil,BEST,"Skin-Soothing, Emollients, Antioxidants, Plant Extracts",
77,Borago officinalis extract,BEST,"Skin-Soothing, Antioxidants, Emollients, Plant Extracts",
78,Borago officinalis seed oil,BEST,"Skin-Soothing, Plant Extracts, Emollients, Antioxidants",
79,boysenberry,BEST,"Antioxidants, Plant Extracts",
80,Brassica campestris,BEST,"Antioxidants, Emollients",
81,Brazil nut extract,GOOD,"Antioxidants, Plant Extracts",
82,Buddleja davidii extract,BEST,"Antioxidants, Plant Extracts",
83,burdock root,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
84,Butyrosperum parkii (shea) butter extract,BEST,"Emollients, Antioxidants, Plant Extracts",
85,caffeic acid,BEST,Antioxidants,
86,caffeine,AVERAGE,"Antioxidants, Plant Extracts",
87,calcium ascorbate,BEST,"Antioxidants, Vitamins",
88,calendula extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
89,Calendula officinalis flower extract,GOOD,"Antioxidants, Plant Extracts",
90,Camellia japonica,BEST,"Antioxidants, Plant Extracts",
91,Camellia oleifera,BEST,"Antioxidants, Plant Extracts",
92,Camellia sinensis,BEST,"Antioxidants, Plant Extracts",
93,carboxylic acid,BEST,Antioxidants,
94,carnitine,BEST,Antioxidants,
95,carnosic acid,BEST,"Antioxidants, Plant Extracts",
96,carnosine,BEST,"Antioxidants, Plant Extracts",
97,carnosol acid,BEST,"Antioxidants, Plant Extracts",
98,catalase,BEST,Antioxidants,
99,Caulerpa taxifolia extract,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
100,Centella asiatica,BEST,"Skin-Soothing, Antioxidants",
101,chamomile,BEST,"Antioxidants, Plant Extracts",
102,Chamomilla recutita flower extract,BEST,"Antioxidants, Plant Extracts",
103,chitosan,BEST,"Skin-Soothing, Antioxidants",
104,chlorella,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
105,cholecalciferol,GOOD,"Antioxidants, Vitamins",
106,Chondrus crispus,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
107,Cichorium intybus,GOOD,"Antioxidants, Plant Extracts",
108,Cinnamomum,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
109,cinnamon,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
110,Citrus unshiu,AVERAGE,"Antioxidants, Plant Extracts",
111,Citrus unshiu peel extract,AVERAGE,"Antioxidants, Plant Extracts",
112,clary sage,GOOD,Antioxidants,
113,cocoa extract,BEST,"Antioxidants, Plant Extracts",
