,Ingredients,Rate,Category,Information
0,10-Hydroxydecanoic Acid,GOOD,Emollients,
1,4-T-butylcyclohexanol,GOOD,"Emollients, Skin-Soothing",
2,acetylated castor oil,GOOD,"Texture Enhancer, Emollients",
3,acetylated hydrogenated cottonseed glyceride,GOOD,"Texture Enhancer, Emollients",
4,acetylated lanolin,GOOD,Emollients,
5,acetylated lanolin alcohol,GOOD,Emollients,
6,acetylated palm kernel glycerides,GOOD,"Texture Enhancer, Emollients",
7,acetyl glyceryl ricinoleate,GOOD,"Texture Enhancer, Emollients",
8,agar,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
9,Ahnfeltia concinna extract,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
10,ahnfeltia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
11,Ahnfeltiopsis concinna extract,GOOD,"Emollients, Antioxidants, Plant Extracts, Texture Enhancer",
12,Alaria esculenta,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
13,alcohol,AVERAGE,"Emollients, Cleansing Agents",
14,algae,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
15,algae extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
16,algin,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
17,almond oil,BEST,"Emollients, Skin-Replenishing",
18,alpha glucan oligosaccharide,BEST,Emollients,
19,amodimethicone,GOOD,"Silicones, Emollients, Texture Enhancer",
20,Anacystis nidulans extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients",
21,apricot kernel oil,BEST,"Plant Extracts, Emollients",
22,arachidic acid,GOOD,"Texture Enhancer, Emollients",
23,arachidyl alcohol,GOOD,"Texture Enhancer, Emollients",
24,arachidyl propionate,GOOD,"Texture Enhancer, Emollients",
25,Arachis hypogaea extract,BEST,"Skin-Soothing, Emollients, Plant Extracts",
26,argan oil,BEST,"Antioxidants, Emollients, Plant Extracts",
27,artemia extract,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
28,Ascophyllum nodosum,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
29,Asparagopsis armata extract,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
30,Astrocaryum murumuru seed butter,GOOD,"Emollients, Plant Extracts",
31,avocado oil,BEST,"Antioxidants, Emollients",
32,babassu oil,GOOD,"Plant Extracts, Emollients",
33,batyl alcohol,GOOD,Emollients,
34,beeswax,GOOD,"Texture Enhancer, Emollients",
35,behentrimonium chloride,GOOD,"Texture Enhancer, Emollients",
36,bis-diglyceryl polyacyladipate,GOOD,"Texture Enhancer, Emollients",
37,bis-PEG-18 methyl ether dimethyl silane,GOOD,"Silicones, Cleansing Agents, Texture Enhancer, Emollients",
38,borage seed oil,BEST,"Skin-Soothing, Emollients, Antioxidants, Plant Extracts",
39,Borago officinalis extract,BEST,"Skin-Soothing, Antioxidants, Emollients, Plant Extracts",
40,Borago officinalis seed oil,BEST,"Skin-Soothing, Plant Extracts, Emollients, Antioxidants",
41,Brassica campestris,BEST,"Antioxidants, Emollients",
42,Butyrospermum fruit,BEST,"Plant Extracts, Emollients",
43,Butyrospermum parkii,BEST,"Plant Extracts, Emollients, Skin-Replenishing",
44,Butyrosperum parkii (shea) butter extract,BEST,"Emollients, Antioxidants, Plant Extracts",
45,Buxus chinensis,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
46,C10-30 cholesterol/lanosterol esters,BEST,Emollients,
47,C12-15 alkyl benzoate,GOOD,"Texture Enhancer, Emollients",
48,C12-18 acid triglyceride,GOOD,"Texture Enhancer, Emollients",
49,C18-36 acid triglyceride,GOOD,"Texture Enhancer, Emollients",
50,candelilla wax,GOOD,"Plant Extracts, Emollients, Texture Enhancer",
51,Cannabis sativa L. oil,GOOD,"Plant Extracts, Emollients",
52,caprylic/capric triglyceride,BEST,"Plant Extracts, Emollients, Texture Enhancer",
53,caprylyl caprylate/caprate,GOOD,"Emollients, Skin-Softening",
54,caprylyl methicone,GOOD,"Silicones, Emollients",
55,carrot oil,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
56,Carthamus tinctorius oil,BEST,"Plant Extracts, Emollients",
57,Carya illinoensis oil,GOOD,"Plant Extracts, Emollients",
58,castor isostearate succinate,GOOD,Emollients,
59,castor oil,GOOD,"Plant Extracts, Emollients",
60,Caulerpa taxifolia extract,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
61,cephalin,BEST,"Texture Enhancer, Emollients",
62,cera microcristallina,GOOD,Emollients,
63,cetearyl alcohol,GOOD,"Texture Enhancer, Emollients",
64,cetearyl ethylhexanoate,GOOD,"Texture Enhancer, Emollients",
65,cetearyl octanoate,GOOD,"Texture Enhancer, Skin-Replenishing, Emollients",
66,cetyl acetate,GOOD,Emollients,
67,cetyl alcohol,GOOD,"Thickeners/Emulsifiers, Emollients",
68,cetyl dimethicone copolyol,GOOD,"Silicones, Emollients",
69,cetyl esters,GOOD,"Texture Enhancer, Emollients",
70,cetyl hydroxyethylcellulose,GOOD,"Texture Enhancer, Emollients",
71,cetyl palmitate,GOOD,Emollients,
72,chlorella,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
73,cholesterol,BEST,"Emollients, Skin-Replenishing",
74,Chondrus crispus,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
75,cocoa butter,BEST,"Plant Extracts, Emollients",
76,cocoglycerides,GOOD,"Texture Enhancer, Emollients",
77,coconut oil,BEST,"Plant Extracts, Emollients",
78,Cocus nucifera,BEST,"Plant Extracts, Emollients",
79,Codium tomentosum extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients",
80,Corallina officinalis extract,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
81,corn oil,BEST,"Plant Extracts, Emollients",
82,Corylus americana,GOOD,"Plant Extracts, Emollients",
83,Corylus avellana,GOOD,"Plant Extracts, Emollients",
84,cyclohexasiloxane,GOOD,Emollients,
85,cyclomethicone,GOOD,Emollients,
86,cyclopentasiloxane,GOOD,Emollients,
87,cyclotetrasiloxane,GOOD,Emollients,
88,decyl oleate,GOOD,Emollients,
89,dicaprylyl carbonate,GOOD,Emollients,
90,diethylhexyl carbonate,GOOD,Emollients,
91,diethylhexyl malate,GOOD,Emollients,
92,diisopropyl adipate,GOOD,"Texture Enhancer, Emollients",
93,diisopropyl dimer dilinoleate,GOOD,Emollients,
94,diisostearoyl trimethylolpropane siloxy silicate,GOOD,"Silicones, Emollients",
95,diisostearyl dimer dilinoleate,GOOD,Emollients,
96,diisostearyl malate,GOOD,Emollients,
97,dimer dilinoleyl dimer dilinoleate,GOOD,"Emollients, Texture Enhancer",
98,dimethicone,GOOD,"Silicones, Emollients",
99,dimethicone/PEG-10/15 crosspolymer,GOOD,"Silicones, Emollients",
100,dimethicone copolyol,GOOD,"Silicones, Emollients",
101,dimethicone crosspolymer,GOOD,"Texture Enhancer, Emollients, Silicones",
102,dimethiconol,GOOD,"Silicones, Emollients",
103,dipentaerythrityl hexacaprylate/hexacaprate,GOOD,"Texture Enhancer, Emollients",
104,disodium diglyceryl phosphate,GOOD,"Texture Enhancer, Emollients",
105,disodium glyceryl phosphate,GOOD,"Texture Enhancer, Emollients",
106,docosahexaenoic acid,GOOD,"Texture Enhancer, Emollients",
107,Dromiceius oil,GOOD,Emollients,
108,dulse,GOOD,"Antioxidants, Emollients, Plant Extracts",
109,Durvillaea antarctica extract,GOOD,"Antioxidants, Plant Extracts, Emollients",
110,Echium plantagineum seed oil,BEST,Emollients,
111,egg yolk,BEST,"Emollients, Skin-Replenishing",
112,eicosapentaenoic acid,BEST,"Skin-Replenishing, Emollients",
113,Elaeis guineensis,BEST,"Antioxidants, Emollients, Plant Extracts",
114,emollient,GOOD,"Thickeners/Emulsifiers, Emollients",
115,emu oil,GOOD,Emollients,
116,ester,GOOD,Emollients,
117,ethylhexyl olivate,BEST,"Emollients, Skin-Softening",
118,ethylhexyl palmitate,GOOD,"Emollients, Texture Enhancer",
119,ethylhexyl stearate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients",
120,Euphorbia cerifera wax,GOOD,"Plant Extracts, Emollients, Texture Enhancer, Thickeners/Emulsifiers",
121,evening primrose oil,BEST,"Skin-Soothing, Emollients, Plant Extracts",
122,fatty acid,BEST,"Thickeners/Emulsifiers, Emollients, Texture Enhancer, Skin-Replenishing",
123,fatty alcohol,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients",
124,gamma linolenic acid (GLA),BEST,"Antioxidants, Emollients, Skin-Restoring",
125,Gellidiela acerosa extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
126,GLA,BEST,"Antioxidants, Emollients, Skin-Restoring",
127,glycereth-26,GOOD,"Thickeners/Emulsifiers, Emollients",
128,glycereth-26 phosphate,GOOD,"Thickeners/Emulsifiers, Emollients",
129,glycereth-6 laurate,GOOD,"Thickeners/Emulsifiers, Emollients",
130,glycerol monostearate,GOOD,"Thickeners/Emulsifiers, Emollients",
131,glycerol triacetate,GOOD,"Thickeners/Emulsifiers, Emollients",
132,glycerol trioleate,GOOD,"Thickeners/Emulsifiers, Emollients",
133,glyceryl behanate,GOOD,"Thickeners/Emulsifiers, Emollients, Cleansing Agents",
134,glyceryl behenate,BEST,"Emollients, Texture Enhancer",
135,glyceryl cocoate,GOOD,"Thickeners/Emulsifiers, Emollients",
136,glyceryl dibehanate,GOOD,Emollients,
137,glyceryl dipalmitate,GOOD,"Thickeners/Emulsifiers, Emollients",
138,glyceryl distearate,GOOD,"Thickeners/Emulsifiers, Emollients",
139,glyceryl ester,GOOD,"Thickeners/Emulsifiers, Emollients",
140,glyceryl isopalmitate,GOOD,"Thickeners/Emulsifiers, Emollients",
141,glyceryl isostearate,GOOD,"Thickeners/Emulsifiers, Emollients",
142,glyceryl myristate,GOOD,"Thickeners/Emulsifiers, Emollients",
143,glyceryl oleate,GOOD,"Thickeners/Emulsifiers, Emollients, Cleansing Agents",
144,glyceryl palmitate,GOOD,"Thickeners/Emulsifiers, Emollients",
145,glyceryl rosinate,GOOD,"Emulsifiers, Emollients, Cleansing Agents",
146,glyceryl stearate,GOOD,"Thickeners/Emulsifiers, Cleansing Agents, Emollients",
147,glyceryl stearate SE,GOOD,"Thickeners/Emulsifiers, Emollients",
148,Glycine soja oil,BEST,"Plant Extracts, Emollients, Antioxidants",
149,Glycine soja seed extract,BEST,"Plant Extracts, Emollients",
150,Glycine soja sterols,BEST,"Plant Extracts, Emollients",
151,glycolipid,BEST,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
152,glycol stearate,GOOD,"Thickeners/Emulsifiers, Emollients",
153,grape seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
154,Haslea ostrearia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Thickeners/Emulsifiers, Plant Extracts",
155,hazelnut oil,GOOD,Emollients,
156,Helianthus annuus seed oil,BEST,"Plant Extracts, Emollients",
157,Helianthus oil,BEST,"Plant Extracts, Emollients",
158,hemp seed oil,GOOD,"Plant Extracts, Emollients",
159,hexyldecanol,GOOD,"Emollients, Skin-Softening",
160,hexyl laurate,GOOD,"Emollients, Skin-Softening",
161,Himanthalia elongate extract,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
162,hydrogenated coco-glyceride,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients",
163,hydrogenated lecithin,BEST,"Skin-Restoring, Emollients",
164,hydrogenated olive oil,BEST,"Antioxidants, Plant Extracts, Emollients",
165,hydrogenated palm glycerides,GOOD,"Antioxidants, Skin-Replenishing, Emollients",
166,hydrogenated polydecene,GOOD,Emollients,
167,hydrogenated polyisobutene,GOOD,"Emollients, Skin-Softening",
168,hydrogenated soybean oil,BEST,"Antioxidants, Emollients",
169,hydrogenated vegetable glycerides citrate,GOOD,"Emollients, Emulsifiers, Texture Enhancer",
170,hydrolyzed jojoba esters,BEST,"Plant Extracts, Emollients, Skin-Softening",
171,hydrolyzed jojoba protein,GOOD,"Plant Extracts, Emollients",
172,hydroxylated lecithin,BEST,Emollients,
173,Irish moss extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients, Texture Enhancer",
