,Ingredients,Rate,Category,Information
0,AHA,BEST,Exfoliant,
1,alpha hydroxy acid,BEST,Exfoliant,
2,ammonium glycolate,BEST,Exfoliant,
3,amygdalic acid,GOOD,"Exfoliant, Antioxidants",
4,Ananas sativus fruit extract,GOOD,"Plant Extracts, Exfoliant",
5,azelaic acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant",
6,beta hydroxy acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant",
7,betaine salicylate,GOOD,Exfoliant,
8,BHA (beta hydroxy acid),BEST,"Skin-Soothing, Exfoliant, Anti-Acne",
9,bromelain,GOOD,"Plant Extracts, Exfoliant",
10,enzymes,GOOD,"Exfoliant, Skin-Restoring",
11,gluconolactone,BEST,Exfoliant,
12,glycolic acid,BEST,Exfoliant,
13,lactic acid,BEST,Exfoliant,
14,lactobionic acid,BEST,Exfoliant,
15,malic acid,BEST,Exfoliant,
16,mandelic acid,GOOD,Exfoliant,
17,papain,POOR,"Plant Extracts, Exfoliant",
18,papaya extract,AVERAGE,"Plant Extracts, Exfoliant",
19,pawpaw extract,AVERAGE,"Plant Extracts, Exfoliant",
20,PHA,BEST,Exfoliant,
21,pineapple extract,GOOD,"Plant Extracts, Exfoliant",
22,polyhydroxy acid,BEST,Exfoliant,
23,salicylic acid,BEST,"Skin-Soothing, Anti-Acne, Exfoliant",
24,tartaric acid,BEST,Exfoliant,
25,urea,GOOD,"Exfoliant, Hydration, Skin-Replenishing",
