Ingredients,Rate,Category
"1, 2-Hexanediol",GOOD,Preservatives
10-Hydroxydecanoic Acid,GOOD,Emollients
4-T-butylcyclohexanol,GOOD,"Emollients, Skin-Soothing"
Acacia farnesiana extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
acacia senegal gum,GOOD,"Texture Enhancer, Plant Extracts, Skin-Soothing"
acai,BEST,"Antioxidants, Plant Extracts"
acerola fruit extract,GOOD,Plant Extracts
acetic acid,POOR,Sensitizing
acetone,POOR,Sensitizing
acetylated castor oil,GOOD,"Texture Enhancer, Emollients"
acetylated hydrogenated cottonseed glyceride,GOOD,"Texture Enhancer, Emollients"
acetylated lanolin,GOOD,Emollients
acetylated lanolin alcohol,GOOD,Emollients
acetylated palm kernel glycerides,GOOD,"Texture Enhancer, Emollients"
acetyl carnitine HCL,BEST,Antioxidants
acetyl glucosamine,BEST,Skin-Replenishing
acetyl glyceryl ricinoleate,GOOD,"Texture Enhancer, Emollients"
acetyl hexapeptide-8,GOOD,Skin-Restoring
acetyl octapeptide-3,GOOD,Skin-Restoring
acetyl tributyl citrate,AVERAGE,Film-Forming/Holding Agents
acetyl tyrosine,GOOD,Hydration
Achillea millefolium,POOR,"Skin-Soothing, Plant Extracts"
acid,AVERAGE,Miscellaneous
acne soap,POOR,Cleansing Agents
acrylate,GOOD,Texture Enhancer
acrylates/C10-30 alkyl acrylate crosspolymer,GOOD,Texture Enhancer
acrylates/dimethicone copolymer,GOOD,"Silicones, Texture Enhancer"
acrylates/steareth-20 methacrylate copolymer,GOOD,Texture Enhancer
acrylates copolymer,GOOD,Texture Enhancer
Actaea racemosa,AVERAGE,Plant Extracts
adenosine,BEST,"Skin-Soothing, Skin-Restoring"
adenosine triphosphate,BEST,"Skin-Soothing, Skin-Restoring"
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,GOOD,Texture Enhancer
advanced glycation endproduct (AGE),POOR,Miscellaneous
Aerocarpus santalinus,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Aesculus hippocastanum,GOOD,"Skin-Soothing, Plant Extracts"
agar,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer"
AGE,POOR,Miscellaneous
Agrimonia eupatoria leaf extract,AVERAGE,"Antioxidants, Plant Extracts"
AHA,BEST,Exfoliant
Ahnfeltia concinna extract,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients"
ahnfeltia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
Ahnfeltiopsis concinna extract,GOOD,"Emollients, Antioxidants, Plant Extracts, Texture Enhancer"
alanine,GOOD,Antioxidants
Alaria esculenta,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer"
albumin,POOR,Texture Enhancer
alcloxa,POOR,Uncategorized
alcohol,AVERAGE,"Emollients, Cleansing Agents"
Aleurites moluccana seed oil,BEST,"Plant Extracts, Antioxidants"
alfalfa extract,BEST,"Antioxidants, Plant Extracts"
algae,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
algae extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
algin,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts"
aliphatic hydrocarbon,GOOD,Uncategorized
alkaline,POOR,Uncategorized
