,Ingredients,Rate,Category,Information
0,acetyl glucosamine,BEST,Skin-Replenishing,
1,almond oil,BEST,"Emollients, Skin-Replenishing",
2,amino acid,BEST,"Antioxidants, Skin-Replenishing",
3,aspartic acid,GOOD,"Antioxidants, Skin-Replenishing",
4,beta-sitosterol,BEST,"Skin-Soothing, Plant Extracts, Skin-Replenishing",
5,Butyrospermum parkii,BEST,"Plant Extracts, Emollients, Skin-Replenishing",
6,Buxus chinensis,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
7,canola oil,BEST,"Skin-Soothing, Skin-Replenishing, Plant Extracts",
8,caprooyl phytosphingosine,BEST,"Skin-Replenishing, Skin-Restoring",
9,caprooyl sphingosine,BEST,"Skin-Replenishing, Skin-Restoring",
10,carrot oil,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
11,ceramide AP,BEST,Skin-Replenishing,
12,ceramide EOP,BEST,Skin-Replenishing,
13,ceramide EOS,BEST,Skin-Replenishing,
14,ceramide NG,BEST,Skin-Replenishing,
15,ceramide NP,BEST,Skin-Replenishing,
16,ceramide NS,BEST,Skin-Replenishing,
17,ceramides,BEST,"Skin-Restoring, Skin-Replenishing",
18,cetearyl octanoate,GOOD,"Texture Enhancer, Skin-Replenishing, Emollients",
19,cholesterol,BEST,"Emollients, Skin-Replenishing",
20,chondroitin sulfate,BEST,Skin-Replenishing,
21,collagen amino acids,GOOD,"Hydration, Skin-Replenishing",
22,cysteine,GOOD,Skin-Replenishing,
23,cystine,GOOD,Skin-Replenishing,
24,decylene glycol,GOOD,Skin-Replenishing,
25,dextran,GOOD,Skin-Replenishing,
26,egg yolk,BEST,"Emollients, Skin-Replenishing",
27,eicosapentaenoic acid,BEST,"Skin-Replenishing, Emollients",
28,fatty acid,BEST,"Thickeners/Emulsifiers, Emollients, Texture Enhancer, Skin-Replenishing",
29,fibronectin,GOOD,Skin-Replenishing,
30,fructose,GOOD,Skin-Replenishing,
31,glucosamine HCL,BEST,"Skin-Soothing, Skin-Replenishing",
32,glucose,GOOD,Skin-Replenishing,
33,glutamine,BEST,Skin-Replenishing,
34,glycerin,BEST,"Skin-Replenishing, Skin-Restoring",
35,glycerine,BEST,Skin-Replenishing,
36,glycerol,BEST,Skin-Replenishing,
37,glycine,GOOD,Skin-Replenishing,
38,glycogen,GOOD,"Skin-Replenishing, Hydration",
39,glycolipid,BEST,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
40,glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Restoring",
41,glycosphingolipid,BEST,Skin-Replenishing,
42,hyaluronic acid,BEST,"Antioxidants, Skin-Replenishing, Skin-Restoring",
43,hydrogenated palm glycerides,GOOD,"Antioxidants, Skin-Replenishing, Emollients",
44,hydrolyzed glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Softening",
45,hydroxyethyl urea,GOOD,"Hydration, Skin-Replenishing",
46,inositol,BEST,Skin-Replenishing,
47,isoleucine,GOOD,"Antioxidants, Skin-Replenishing",
48,jojoba oil,BEST,"Skin-Restoring, Plant Extracts, Skin-Replenishing, Emollients",
49,jojoba wax,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
50,lactobionate,GOOD,Skin-Replenishing,
51,lanolin,GOOD,"Emollients, Skin-Replenishing",
52,lanolin alcohol,GOOD,"Emollients, Skin-Replenishing",
53,lauric acid,BEST,"Skin-Replenishing, Cleansing Agents",
54,lecithin,BEST,"Emollients, Skin-Replenishing",
55,leucine,GOOD,Skin-Replenishing,
56,lipid,BEST,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
57,lysine,GOOD,"Antioxidants, Skin-Replenishing",
58,Mangifera indica (mango) seed butter,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
59,melibiose,GOOD,Skin-Replenishing,
60,methionine,GOOD,"Antioxidants, Skin-Replenishing",
61,milk protein,GOOD,"Emollients, Skin-Replenishing",
62,mucopolysaccharide,BEST,Skin-Replenishing,
63,N-acetyl-L tyrosine,AVERAGE,"Antioxidants, Skin-Replenishing",
64,NaPCA,GOOD,Skin-Replenishing,
65,natural moisturizing factor (NMF),BEST,Skin-Replenishing,
66,Olea europaea fruit oil,GOOD,"Antioxidants, Emollients, Plant Extracts, Skin-Replenishing",
67,Olea europaea oil unsaponifiables,BEST,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
68,olive oil/olive fruit oil,GOOD,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
69,palmitic acid,GOOD,"Emollients, Skin-Replenishing, Cleansing Agents",
70,palm oil,BEST,"Antioxidants, Skin-Replenishing, Emollients",
71,PEG-12 glyceryl dimyristate,GOOD,"Hydration, Skin-Replenishing",
72,PEG-75 shea butter glycerides,GOOD,Skin-Replenishing,
73,phenylalanine,GOOD,"Antioxidants, Skin-Replenishing",
74,phosphatidylcholine,BEST,"Skin-Restoring, Skin-Replenishing, Emollients",
75,phosphatidylethanolamine,BEST,"Emollients, Skin-Replenishing",
76,phospholipid,BEST,"Emollients, Skin-Replenishing",
77,phytosphingosine,BEST,"Preservatives, Skin-Replenishing, Skin-Restoring",
78,phytosterol,BEST,"Emollients, Skin-Replenishing, Skin-Soothing",
79,polysaccharide,BEST,"Antioxidants, Skin-Replenishing",
80,proline,GOOD,"Antioxidants, Skin-Replenishing",
81,pumpkin seed extract,BEST,"Antioxidants, Skin-Replenishing, Texture Enhancer, Emollients",
82,saccharide isomerate,GOOD,"Emollients, Skin-Replenishing",
83,saccharides,BEST,Skin-Replenishing,
84,Saccharomyces cerevisiae,AVERAGE,Skin-Replenishing,
85,Salvia hispanica (chia) seed oil,BEST,"Emollients, Skin-Replenishing, Skin-Restoring",
86,Sclerocarya birrea,BEST,"Emollients, Skin-Replenishing",
87,serine,GOOD,"Antioxidants, Skin-Replenishing",
88,Simmondsia chinensis,BEST,"Plant Extracts, Emollients, Skin-Replenishing",
89,skin-replenishing ingredients,BEST,Skin-Replenishing,
90,sodium chondroitin sulfate,BEST,Skin-Replenishing,
91,sodium dilauramidoglutamide lysine,GOOD,"Emulsifiers, Skin-Replenishing",
92,sodium hyaluronate,BEST,"Skin-Replenishing, Antioxidants, Skin-Restoring",
