,Ingredients,Rate,Category,Information
0,acetyl hexapeptide-8,GOOD,Skin-Restoring,
1,acetyl octapeptide-3,GOOD,Skin-Restoring,
2,adenosine,BEST,"Skin-Soothing, Skin-Restoring",
3,adenosine triphosphate,BEST,"Skin-Soothing, Skin-Restoring",
4,Argireline,AVERAGE,Skin-Restoring,
5,ATP,BEST,"Skin-Soothing, Skin-Restoring",
6,azelaoyl bis-dipeptide-10,BEST,Skin-Restoring,
7,caprooyl phytosphingosine,BEST,"Skin-Replenishing, Skin-Restoring",
8,caprooyl sphingosine,BEST,"Skin-Replenishing, Skin-Restoring",
9,caprooyl tetrapeptide-3,BEST,Skin-Restoring,
10,ceramides,BEST,"Skin-Restoring, Skin-Replenishing",
11,creatine,BEST,Skin-Restoring,
12,Cucurbitea peponis,BEST,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts, Vitamins, Skin-Restoring",
13,decarboxy carnosine HCL,BEST,"Skin-Soothing, Skin-Restoring",
14,dimethyl MEA,AVERAGE,Skin-Restoring,
15,DMAE,AVERAGE,Skin-Restoring,
16,enzymes,GOOD,"Exfoliant, Skin-Restoring",
17,gamma linolenic acid (GLA),BEST,"Antioxidants, Emollients, Skin-Restoring",
18,GLA,BEST,"Antioxidants, Emollients, Skin-Restoring",
19,glutathione,BEST,"Antioxidants, Skin-Restoring",
20,glycerin,BEST,"Skin-Replenishing, Skin-Restoring",
21,glycoproteins,BEST,"Skin-Restoring, Hydration",
22,glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Restoring",
23,hexanoyl dipeptide-3 norleucine acetate,BEST,Skin-Restoring,
24,hibiscus,GOOD,"Antioxidants, Skin-Restoring, Plant Extracts",
25,hyaluronic acid,BEST,"Antioxidants, Skin-Replenishing, Skin-Restoring",
26,hydrogenated lecithin,BEST,"Skin-Restoring, Emollients",
27,hydroquinone,BEST,"Skin-Restoring, Antioxidants",
28,jojoba oil,BEST,"Skin-Restoring, Plant Extracts, Skin-Replenishing, Emollients",
29,lady's thistle (milk thistle) extract,BEST,"Antioxidants, Plant Extracts, Skin-Restoring",
30,linoleic acid,BEST,"Skin-Soothing, Antioxidants, Skin-Restoring, Emollients",
31,linolenic acid,BEST,"Skin-Restoring, Plant Extracts",
32,myristoyl hexapeptide-16,BEST,Skin-Restoring,
33,myristoyl pentapeptide-17,BEST,Skin-Restoring,
34,myristoyl tripeptide-31,BEST,Skin-Restoring,
35,N6-furfuryladenine,AVERAGE,"Plant Extracts, Skin-Restoring",
36,niacin,BEST,"Skin-Restoring, Vitamins",
37,niacinamide,BEST,"Skin-Soothing, Skin-Restoring, Antioxidants, Vitamins",
38,nicotinamide,BEST,"Skin-Restoring, Vitamins",
39,nicotinic acid,BEST,"Skin-Restoring, Vitamins",
40,palmitoyl hexapeptide-12,BEST,Skin-Restoring,
41,palmitoyl oligopeptide,BEST,Skin-Restoring,
42,palmitoyl pentapeptide-4,BEST,Skin-Restoring,
43,palmitoyl tetrapeptide-7,BEST,Skin-Restoring,
44,palmitoyl tripeptide-1,BEST,Skin-Restoring,
45,Palmitoyl Tripeptide-38,BEST,Skin-Restoring,
46,palmitoyl tripeptide-5,BEST,Skin-Restoring,
47,palmitoyl tripeptide-8,BEST,Skin-Restoring,
48,pentapeptides,BEST,Skin-Restoring,
49,peptides,BEST,"Skin-Soothing, Skin-Restoring",
50,phosphatidylcholine,BEST,"Skin-Restoring, Skin-Replenishing, Emollients",
51,phytosphingosine,BEST,"Preservatives, Skin-Replenishing, Skin-Restoring",
52,Pyrus malus (apple) fruit extract,GOOD,"Skin-Restoring, Plant Extracts, Texture Enhancer",
53,retinol,BEST,"Antioxidants, Vitamins, Skin-Restoring",
54,retinyl palmitate,BEST,"Antioxidants, Skin-Restoring, Vitamins",
55,retinyl retinoate,BEST,"Skin-Restoring, Vitamins",
56,Salvia hispanica (chia) seed oil,BEST,"Emollients, Skin-Replenishing, Skin-Restoring",
57,skin-restoring ingredients,BEST,"Antioxidants, Skin-Restoring",
58,sodium hyaluronate,BEST,"Skin-Replenishing, Antioxidants, Skin-Restoring",
59,sphingolipids,BEST,"Skin-Restoring, Skin-Replenishing",
60,tripeptide-1,BEST,Skin-Restoring,
61,tripeptide-32,GOOD,Skin-Restoring,
62,vitamin B3,BEST,"Skin-Restoring, Vitamins, Hydration",
63,vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration",
