,Ingredients,Rate,Category,Information
0,caprylyl caprylate/caprate,GOOD,"Emollients, Skin-Softening",
1,cocos nucifera (coconut) fruit extract,BEST,Skin-Softening,
2,ethylhexyl olivate,BEST,"Emollients, Skin-Softening",
3,hexyldecanol,GOOD,"Emollients, Skin-Softening",
4,hexyl laurate,GOOD,"Emollients, Skin-Softening",
5,hydrogenated polyisobutene,GOOD,"Emollients, Skin-Softening",
6,hydrolyzed glycosaminoglycans,BEST,"Skin-Replenishing, Skin-Softening",
7,hydrolyzed jojoba esters,BEST,"Plant Extracts, Emollients, Skin-Softening",
8,isoamyl laurate,GOOD,"Emulsifiers, Skin-Softening",
9,lentil fruit extract,GOOD,"Antioxidants, Plant Extracts, Skin-Softening",
10,Limnanthes alba,GOOD,"Plant Extracts, Skin-Softening",
11,Lycium barbarum fruit extract,GOOD,"Antioxidants, Skin-Softening",
12,methyl gluceth-20,GOOD,Skin-Softening,
13,methyl glucose sesquistearate,GOOD,"Emollients, Skin-Softening",
14,methylglucoside phosphate,GOOD,Skin-Softening,
15,millet seed extract,AVERAGE,"Plant Extracts, Skin-Softening",
16,neopentyl glycol diheptanoate,GOOD,"Texture Enhancer, Skin-Softening",
17,octyldodecyl myristate,GOOD,"Texture Enhancer, Skin-Softening, Emollients",
18,octyldodecyl neopentanoate,GOOD,"Emollients, Skin-Softening",
19,oleyl erucate,GOOD,Skin-Softening,
20,Oryza sativa cera,BEST,Skin-Softening,
21,polyglyceryl-10 laurate,GOOD,"Emulsifiers, Cleansing Agents, Skin-Softening",
22,tridecyl trimellitate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Hydration, Skin-Softening",
23,trimethylsiloxysilicate,GOOD,"Silicones, Slip Agents, Skin-Softening, Emollients",
24,trioctyldodecyl citrate,GOOD,"Emollients, Skin-Softening",
25,Triticum vulgare (wheat) germ extract,GOOD,"Plant Extracts, Skin-Softening",
26,Triticum vulgare oil,GOOD,"Plant Extracts, Skin-Softening, Emollients",
27,whey protein,GOOD,"Miscellaneous, Skin-Softening",
28,xymenynic acid,GOOD,"Miscellaneous, Skin-Softening",
