,Ingredients,Rate,Category,Information
0,acacia senegal gum,GOOD,"Texture Enhancer, Plant Extracts, Skin-Soothing",
1,acetylated castor oil,GOOD,"Texture Enhancer, Emollients",
2,acetylated hydrogenated cottonseed glyceride,GOOD,"Texture Enhancer, Emollients",
3,acetylated palm kernel glycerides,GOOD,"Texture Enhancer, Emollients",
4,acetyl glyceryl ricinoleate,GOOD,"Texture Enhancer, Emollients",
5,acrylate,GOOD,Texture Enhancer,
6,acrylates/C10-30 alkyl acrylate crosspolymer,GOOD,Texture Enhancer,
7,acrylates/dimethicone copolymer,GOOD,"Silicones, Texture Enhancer",
8,acrylates/steareth-20 methacrylate copolymer,GOOD,Texture Enhancer,
9,acrylates copolymer,GOOD,Texture Enhancer,
10,adipic acid/neopentyl glycol/trimellitic anhydride copolymer,GOOD,Texture Enhancer,
11,agar,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
12,Ahnfeltia concinna extract,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
13,ahnfeltia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
14,Ahnfeltiopsis concinna extract,GOOD,"Emollients, Antioxidants, Plant Extracts, Texture Enhancer",
15,Alaria esculenta,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer",
16,albumin,POOR,Texture Enhancer,
17,algae,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
18,algae extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts",
19,algin,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
20,alkyloamides,AVERAGE,Texture Enhancer,
21,allyl methacrylates crosspolymer,GOOD,Texture Enhancer,
22,Althaea rosea,GOOD,"Skin-Soothing, Texture Enhancer, Plant Extracts",
23,alumina,GOOD,"Texture Enhancer, Scrub Agents, Absorbent",
24,Aluminum hydroxide,GOOD,"Texture Enhancer, Absorbent",
25,aluminum starch octenylsuccinate,GOOD,"Texture Enhancer, Absorbent",
26,aluminum stearate,GOOD,Texture Enhancer,
27,ammonium acryloyldimethyltaurate/VP copolymer,GOOD,Texture Enhancer,
28,amodimethicone,GOOD,"Silicones, Emollients, Texture Enhancer",
29,Anacystis nidulans extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients",
30,arachidic acid,GOOD,"Texture Enhancer, Emollients",
31,arachidyl alcohol,GOOD,"Texture Enhancer, Emollients",
32,arachidyl propionate,GOOD,"Texture Enhancer, Emollients",
33,arrowroot,AVERAGE,Texture Enhancer,
