,Ingredients,Rate,Category,Information
0,alpha-tocopherol,BEST,"Antioxidants, Vitamins",
1,ascorbic acid,BEST,"Antioxidants, Vitamins",
2,ascorbyl glucosamine,BEST,"Antioxidants, Vitamins",
3,ascorbyl glucoside,BEST,"Antioxidants, Vitamins",
4,ascorbyl methylsilanol pectinate,BEST,"Antioxidants, Texture Enhancer, Vitamins",
5,ascorbyl palmitate,BEST,"Antioxidants, Vitamins",
6,biotin,GOOD,Vitamins,
7,calcium ascorbate,BEST,"Antioxidants, Vitamins",
8,calcium d-pantetheine-s-sulfonate,GOOD,Vitamins,
9,calcium pantothenate,GOOD,Vitamins,
10,cholecalciferol,GOOD,"Antioxidants, Vitamins",
11,choline,BEST,Vitamins,
12,Cucurbitea peponis,BEST,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts, Vitamins, Skin-Restoring",
13,cyanocobalamin,GOOD,Vitamins,
14,d-alpha-tocopherol,BEST,"Antioxidants, Vitamins",
15,ergocalciferol,GOOD,"Antioxidants, Vitamins",
16,Ester-C,BEST,Vitamins,
17,folic acid,GOOD,"Antioxidants, Vitamins",
18,honey,BEST,"Skin-Soothing, Vitamins, Antioxidants",
19,honey extract,BEST,"Skin-Soothing, Antioxidants, Vitamins",
20,L-ascorbic acid,BEST,"Skin-Soothing, Vitamins, Antioxidants",
21,magnesium ascorbyl palmitate,GOOD,"Antioxidants, Vitamins",
22,magnesium ascorbyl phosphate,BEST,"Antioxidants, Vitamins",
23,niacin,BEST,"Skin-Restoring, Vitamins",
24,niacinamide,BEST,"Skin-Soothing, Skin-Restoring, Antioxidants, Vitamins",
25,nicotinamide,BEST,"Skin-Restoring, Vitamins",
26,nicotinic acid,BEST,"Skin-Restoring, Vitamins",
27,pantethine,GOOD,Vitamins,
28,panthenol,BEST,Vitamins,
29,pantothenic acid,BEST,Vitamins,
30,phytonadione,GOOD,Vitamins,
31,potassium ascorbyl tocopheryl phosphate,BEST,"Antioxidants, Vitamins",
32,pyridoxine hydrochloride (HCL),GOOD,"Antioxidants, Vitamins",
33,retinol,BEST,"Antioxidants, Vitamins, Skin-Restoring",
34,retinyl ascorbate,BEST,"Antioxidants, Vitamins",
35,retinyl palmitate,BEST,"Antioxidants, Skin-Restoring, Vitamins",
36,retinyl retinoate,BEST,"Skin-Restoring, Vitamins",
37,riboflavin,AVERAGE,Vitamins,
38,sodium ascorbate,BEST,"Antioxidants, Vitamins",
39,sodium ascorbyl phosphate,BEST,"Skin-Soothing, Vitamins, Antioxidants",
40,tetrahexyldecyl ascorbate,BEST,"Antioxidants, Vitamins",
41,thiamine HCL,GOOD,Vitamins,
42,tocopherol,BEST,"Antioxidants, Vitamins",
43,tocopherol acetate,BEST,"Antioxidants, Vitamins",
44,tocopheryl acetate,BEST,"Antioxidants, Vitamins",
45,tocopheryl lineolate,BEST,"Antioxidants, Vitamins",
46,tocotrienols,BEST,"Antioxidants, Vitamins",
47,vitamin A,BEST,"Antioxidants, Vitamins",
48,vitamin B1,GOOD,Vitamins,
49,vitamin B12,GOOD,Vitamins,
50,vitamin B2,AVERAGE,"Sensitizing, Vitamins",
51,vitamin B3,BEST,"Skin-Restoring, Vitamins, Hydration",
52,vitamin B5,GOOD,Vitamins,
53,vitamin B6,AVERAGE,Vitamins,
54,vitamin C,BEST,"Antioxidants, Vitamins",
55,vitamin D,GOOD,"Antioxidants, Vitamins",
56,vitamin E,BEST,"Antioxidants, Vitamins",
57,vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration",
58,vitamin H,GOOD,Vitamins,
59,vitamin K,GOOD,Vitamins,
