Effect,Ingredients
expoliates1,"betaine salicylate, BHA (beta hydroxy acid), hexanoyl dipeptide-3 norleucine acetate, mandelic acid, salicylic acid"
expoliates2,"lactic acid, AHA, glycolic acid, tartaric acid, citric acid"
skin_texture,"ascorbic acid, caprooyl phytosphingosine, caprooyl sphingosine, ceramides, cyclohexasiloxane, dipotassium phosphate, EDTA, glyceryl behenate, glycoproteins, hectorite, methylpropanediol, myristoyl tripeptide-31, natural moisturizing factor (NMF), niacinamide, Panax ginseng root extract, propanediol, skin-replenishing ingredients, skin-restoring ingredients, sodium carboxymethyl beta-glucan, walnut shell powder, water, azelaic acid, lactic acid, glycolic acid, tartaric acid, citric acid, mandelic acid, salicylic acid, thioctic acid, alpha lipoic acid(ALA), resveratrol, ferulic acid, ethylbisiminomethylguaiacol manganese chloride(EUK), moroccan argan oil, rose hip seed oil"
skin_tone,"AHA, lemon juice, myristoyl tripeptide-31, niacinamide, Panax ginseng root extract, phloretin, salicylic acid, vitamin C, ascorbyl glucoside, tetrahexyldecyl ascorbate, magnesium ascorbyl phosphate,  l-ascorbic acid, ascorbic acid, ethyl ascorbic acid, azelaic acid, lactic acid, glycolic acid, tartaric acid, citric acid, mandelic acid, salicylic acid, thioctic acid, alpha lipoic acid(ALA), resveratrol, ferulic acid, ethylbisiminomethylguaiacol manganese chloride(EUK)"
sebum,"mandelic acid, squalane, zinc, pyrrolidone carboxylic "
hydration,"hydrolyzed acacia macrostachya seed extract, magnesium ascorbyl phosphate, myristoyl pentapeptide-17, neem extract, skin-replenishing ingredients, water, natural moisturizing factor (NMF), squalane, algae extract, marula oil"
rosacea,"4-T-butylcyclohexanol, azelaic acid, beta-glucan, caffeine, azelaic acid"
pigmentation,"arbutin, alpha arbutin, beta arbutin, caffeine, egcg, epigallocatechin gallatyl glucoside"
ageing,"alcohol, alpha lipoic acid, azelaoyl bis-dipeptide-10, bay leaf oil, beta-carotene, Camellia japonica, caprooyl tetrapeptide-3, glabridin, honey, Mahonia aquifolium root extract, propyl gallate, quercetin, retinol, retinyl palmitate, rosemary extract, soy extract, tomato extract, granactive retinoid, ascorbyl glucoside, tetrahexyldecyl ascorbate, magnesium ascorbyl phosphate,  l-ascorbic acid, ascorbic acid, ethyl ascorbic acid, azelaic acid, thioctic acid, alpha lipoic acid(ALA), resveratrol, ferulic acid, ethylbisiminomethylguaiacol manganese chloride(EUK), palmitoyl tripeptide-38, dipeptide diaminobutyroyl benzylamide diacetate, acetylarginyltryptophyl diphenylglycine, acetyl hexapeptide-8, pentapeptide-18, marula oil"
fine_lines,"botanicals, palmitoyl pentapeptide-4, Palmitoyl Tripeptide-38, Rhodiola rosea root extract, skin-restoring ingredients, granactive retinoid, retinol, lactic acid, arigreline"
pore,salicylic acid
acne,"azelaic acid, benzoyl peroxide, retinoic acid"
blemishes,"azelaic acid, lactic acid, salicylic acid, niacinamide"
soothing,"apricot kernel oil, argan oil, bis-phenylpropyl dimethicone, castor oil, cetearyl alcohol, cetyl alcohol, cholesterol, diisopropyl adipate, dipentaerythrityl hexacaprylate/hexacaprate, emu oil, glyceryl behanate, glyceryl myristate, glyceryl oleate, glyceryl palmitate, glyceryl stearate, hoelen, hyaluronic acid, mineral oil, myristoyl hexapeptide-16, PEG-20 methyl glucose sesquistearate, PEG-60 almond glycerides, silicone, stearyl stearate, tribehenin PEG-20 esters, vitamin F, azelaic acid, squalane"
inflammation,"lactic acid, glycolic acid, tartaric acid, citric acid"
dark_circle,"arbutin, ascorbic acid, coffea arabica (coffee) seed oil, hesperidin methyl chalcone, hydroquinone, niacinamide, peptides, vitamin K, caffeine, egcg, epigallocatechin gallatyl glucoside"
puffiness,"cucumber extract, caffeine, egcg, epigallocatechin gallatyl glucoside"
radiant,"cucumber extract, lactic acid, marula oil"
skin_conditioning,"dimethyl isosorbide, titanium dioxide, zinc oxide"
